Block,GEN,KILL,IN,OUT
B16,newItem.in_stock_115,newItem.in_stock_115,inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31,newItem.in_stock_115;inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31
B18,inventory[itemCount]_122;newItem.in_stock_119,,newItem.in_stock_115;inventory[1].quantity_38;inventory[2].id_43;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31,newItem.in_stock_115;inventory[1].quantity_38;inventory[2].id_43;inventory[itemCount]_122;int itemCount_24;newItem.quantity_99;inventory[2].price_46;int nextId_25;inventory[2].in_stock_47;inventory[1].in_stock_40;inventory[1].id_36;newItem.in_stock_119;inventory[0].id_29;newItem.id_90;int choice_26;inventory[1].price_39;inventory[0].price_32;inventory[0].in_stock_33;inventory[2].quantity_45;newItem.price_108;inventory[0].quantity_31
B19,,,,
B20,,,,
B21,,,,
B22,,,,
B23,,,,
B24,,,,
B25,,,,
B26,,,,
B27,,,,
B28,,,,
B29,,,,
B30,int found_172,,,int found_172
B31,,,int found_172,int found_172
B32,,,int found_172,int found_172
B33,found_184,,int found_172,found_184;int found_172
B34,,,int found_172,int found_172
B36,,,int found_172,int found_172
B37,,,int found_172,int found_172
B38,,,int found_172,int found_172
B39,,,,
B40,,,,
B41,,,,
B42,,,,
B43,,,,
B44,,,,
B45,int itemIndex_215,,,int itemIndex_215
B46,,,int itemIndex_215,int itemIndex_215
B47,,,int itemIndex_215,int itemIndex_215
B48,itemIndex_220,,int itemIndex_215,int itemIndex_215;itemIndex_220
B49,,,int itemIndex_215,int itemIndex_215
B51,,,int itemIndex_215,int itemIndex_215
B52,,,int itemIndex_215,int itemIndex_215
B53,,,int itemIndex_215,int itemIndex_215
B54,,,int itemIndex_215,int itemIndex_215
B55,,,int itemIndex_215,int itemIndex_215
B56,,,int itemIndex_215,int itemIndex_215
B57,,,int itemIndex_215,int itemIndex_215
B59,inventory[itemIndex].quantity_243,,int itemIndex_215,inventory[itemIndex].quantity_243;int itemIndex_215
B60,inventory[itemIndex].in_stock_250;inventory[itemIndex].in_stock_246,,inventory[itemIndex].quantity_243;int itemIndex_215,inventory[itemIndex].quantity_243;inventory[itemIndex].in_stock_250;inventory[itemIndex].in_stock_246;int itemIndex_215
B62,,,inventory[itemIndex].quantity_243;int itemIndex_215;inventory[itemIndex].in_stock_250;inventory[itemIndex].in_stock_246,inventory[itemIndex].quantity_243;inventory[itemIndex].in_stock_250;inventory[itemIndex].in_stock_246;int itemIndex_215
B63,,,,
B64,,,,
B65,,,,
B66,,,,
